model,layer,layer_name,entropy,max_attention,attention_std,relative_entropy,mapped_to_gpt2_layer
GPT-2,0,L0,2.120872483253479,0.3845318466424942,0.05582185707986355,1.0,
GPT-2,1,L1,2.512036600112915,0.3038117414712906,0.04525990821421146,1.0,
GPT-2,2,L2,1.9283805871009827,0.40694249510765074,0.05931888602674008,1.0,
GPT-2,3,L3,1.4580811190605163,0.5376873326301574,0.07435314059257507,1.0,
GPT-2,4,L4,1.3623449254035949,0.6238031136989594,0.08176616534590721,1.0,
GPT-2,5,L5,1.1607852721214293,0.6893190038204193,0.0892462146282196,1.0,
GPT-2,6,L6,1.378396246433258,0.6415691900253296,0.08329287931323051,1.0,
GPT-2,7,L7,1.0378817558288573,0.7391249549388885,0.09444203361868858,1.0,
GPT-2,8,L8,1.4560752391815186,0.6306174862384796,0.08167041927576064,1.0,
GPT-2,9,L9,1.1816342759132386,0.7121891117095948,0.09118037313222885,1.0,
GPT-2,10,L10,1.2322766423225402,0.6996049046516418,0.08965939894318581,1.0,
GPT-2,11,L11,1.7288855171203614,0.5686243450641633,0.07425629153847695,1.0,
DistilGPT-2,0,L0,2.169493350982666,0.3906825017929077,0.05545376099646091,1.022924936842314,0.0
DistilGPT-2,1,L1,1.7572454047203063,0.491015300154686,0.06763018682599067,0.6995301758904782,1.0
DistilGPT-2,2,L2,1.4104582452774048,0.611745491027832,0.08041282415390015,0.731421097428598,2.0
DistilGPT-2,3,L3,1.1620353937149048,0.6994619631767273,0.09002072155475617,0.7969621021247691,3.0
DistilGPT-2,4,L4,1.39925589799881,0.6546490216255187,0.08434254750609398,1.0270937057913436,4.0
DistilGPT-2,5,L5,1.7190595865249634,0.577232506275177,0.07502615064382553,1.4809453805209316,5.0
