method,previous_token_score,previous_token_retention,duplicate_token_score,duplicate_token_retention,induction_score,induction_retention,s_inhibition_score,s_inhibition_retention,name_mover_score,name_mover_retention,negative_name_mover_score,negative_name_mover_retention,backup_name_mover_score,backup_name_mover_retention
base_model,0.004672638639589423,-10.40540130147221,-0.0032730896098073572,8.86569521869531,-0.0019029717738740146,2.250605242565746,0.37567387556901666,97.7905183211027,2.9562141475193204,82.66959642578098,-1.66403340148367,79.45332019199161,0.4064185439684661,95.28142632308655
magnitude_attention_heads_sparsity30,0.0031297168974706436,-6.969501129888812,-0.0027716083861887455,7.507351813375992,-0.003226865634904243,3.8163470497442793,0.0677805843683891,17.643756748995152,0.32796673755347727,9.171486394981741,0.0,-0.0,-0.009384633798967115,-2.2001488543170713
magnitude_attention_heads_sparsity50,0.0030915483520366255,-6.884504394003982,-0.0027142073668073863,7.351871822375226,-0.003555472411972005,4.204983468510362,-0.02743505884031765,-7.141536312848373,0.0,0.0,0.0,-0.0,0.0,0.0
magnitude_attention_heads_sparsity70,0.003260924628702924,-7.261684883573551,-0.000844319321680814,2.286976119092025,-0.006796080196392723,8.037583073426775,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
magnitude_neurons_sparsity30,0.005654808165621944,-12.592574086000472,-0.00016521037812344732,0.44749916257077316,-0.007115300829260377,8.415118694149367,0.08159377919684631,21.239427275456993,-1.1015889680679247,-30.80558811806197,0.48267091540619733,-23.04629627923165,-0.5114239268896635,-119.89905956058432
magnitude_neurons_sparsity50,0.005995115908386651,-13.350398283973567,-0.005330483528552577,14.438481058025221,-0.007670750788471197,9.072037838902569,0.060587596774101256,15.771372133330162,-0.3913164852426271,-10.943042112463077,0.0729313222891651,-3.482283286320942,-0.15206686161996913,-35.650803061659246
magnitude_neurons_sparsity70,0.002777622116118437,-6.185428622102131,-0.006759957548929378,18.310443790035382,-0.007060693932813593,8.350536250462785,0.04356697989278473,11.340787375612374,-0.15804520973726177,-4.419684452485001,0.017732740754727274,-0.8466928174703178,-0.010660089657700152,-2.4991688061272677
random_attention_heads_sparsity30,0.0032844719514250756,-7.3141219242689965,-0.0010261380027877748,2.7794615698201346,-0.003018999251304194,3.5705077897477597,0.1928908922991832,50.21083861310909,-0.3197782789878547,-8.942498733334398,0.2400115078743547,-11.459932936382804,-0.25490062785590994,-59.75931894152406
random_attention_heads_sparsity50,0.0002893453780270647,-0.6443371733454522,0.0,-0.0,-0.019549251709948295,23.120494476425087,0.0383821868969826,9.991149757933618,-0.1893007348352112,-5.2937353557633,0.11401228974573314,-5.443793949636506,-0.15897669072751888,-37.27075466767456
random_attention_heads_sparsity70,0.0,-0.0,0.0,-0.0,-0.013920571426773677,16.46357106433988,0.05007689126982587,13.035362508953908,-0.07454123722016812,-2.0845221931032074,0.018175390168558805,-0.867828189860437,-0.030558479683299083,-7.164179818319789
random_neurons_sparsity30,0.0059986898405477405,-13.358356998787354,-0.003564579378464259,9.655242636076345,-0.0063421552414074525,7.500735445181868,0.10306175152985088,26.827689537685885,-0.3055396750046639,-8.54432066293153,0.07734281568741426,-3.6929207634193166,-0.1874978912420629,-43.95731143483663
random_neurons_sparsity50,0.002757516878948081,-6.140656689762589,-0.003188678804552182,8.637054832463697,-0.005479216889987583,6.480156157364655,0.04986837821942754,12.981085114114347,-0.1444725514834281,-4.040129344404949,0.018403368968050927,-0.8787135918823454,-0.03690075554454233,-8.651073315582616
random_neurons_sparsity70,0.0023505787797039367,-5.234454743903212,-0.0037282164974603805,10.098480370581992,-0.008325472479773452,9.846363601951918,0.026526851461443585,6.905123625943748,-0.044126635762164364,-1.2339874542399745,0.0003171281246468422,-0.015142053282695868,-0.005676538991741836,-1.3308170597494773
